pl_name,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,sy_dist
HAT-P-55 b,0.04628,14.841,189.42573,1.1,1.03,511.388
HAT-P-56 b,0.0423,16.432,692.8694,1.43,1.3,320.639
HAT-P-56 b,0.04232,16.432,603.877,1.43,1.3,320.639
HAT-P-57 b,0.0406,15.838,587.9855,1.5,1.47,279.86
HAT-P-58 b,0.04994,14.93,118.23217,1.53,1.03,515.59
HAT-P-59 b,0.05064,12.588,489.45575,1.1,1.01,265.471
HAT-P-6 b,0.05244,15.637,337.85329,1.52,1.29,275.358
HAT-P-6 b,0.05239,14.908,351.51998,1.46,1.29,275.358
HAT-P-6 b,0.05235,14.908,335.932,1.46,1.29,275.358
HAT-P-6 b,0.05237,14.908,336.58197,1.46,1.29,275.358
HAT-P-60 b,0.06277,18.282,182.43351,2.2,1.44,233.22
HAT-P-61 b,0.0301,10.077,335.94463,0.94,1.0,338.84
HAT-P-62 b,0.03772,12.027,241.86742,1.17,1.02,348.815
HAT-P-63 b,0.04294,12.543,195.14664,0.97,0.93,403.458
HAT-P-64 b,0.05387,19.089,184.34048,1.74,1.3,651.897
HAT-P-65 b,0.03951,21.185,167.49641,1.86,1.21,738.519
HAT-P-65 b,0.04042,18.058,176.07694,1.67,1.3,738.519
HAT-P-66 b,0.04363,17.822,248.86089,1.88,1.25,935.456
HAT-P-67 b,0.06505,23.371,108.0622,2.55,1.64,371.686
HAT-P-68 b,0.02996,12.016,230.10892,0.67,0.68,202.152
HAT-P-69 b,0.06555,18.786,1137.8314,1.93,1.65,341.263
HAT-P-7 b,0.03805,16.421,571.77617,1.96,1.51,341.079
HAT-P-7 b,0.03813,16.926,574.00098,2.0,1.51,341.079
HAT-P-7 b,0.0355,15.906,566.05523,1.84,1.47,341.079
HAT-P-7 b,0.0377,15.043,564.442,1.99,1.35,341.079
HAT-P-7 b,0.03676,16.713,534.59006,1.84,1.47,341.079
HAT-P-70 b,0.04739,20.961,2154.8874,1.86,1.89,330.739
HAT-P-8 b,0.04496,16.814,430.34182,1.58,1.28,211.553
HAT-P-8 b,0.0487,16.81,483.08,1.58,1.28,211.553
HAT-P-9 b,0.053,15.69,247.9,1.32,1.28,455.203
HAT-P-9 b,0.0529,15.468,247.27174,1.34,1.28,455.203
HAT-P-9 b,0.05287,15.614,238.05467,1.34,1.28,455.203
HAT-P-9 b,0.0529,15.693,241.86863,1.32,1.28,455.203
HATS-1 b,0.0444,14.594,589.55,1.04,0.99,283.971
HATS-1 b,0.04446,14.594,556.2025,1.04,0.99,283.971
HATS-10 b,0.04493,10.862,185.93055,1.1,1.1,534.889
HATS-10 b,0.04491,10.862,167.17858,1.1,1.1,534.889
HATS-11 b,0.04614,16.926,270.1555,1.44,1.0,944.603
HATS-12 b,0.04795,15.132,756.4354,2.21,1.49,746.138
HATS-13 b,0.04057,13.585,172.58169,0.89,0.96,421.855
HATS-13 b,0.04059,13.585,188.15536,0.89,0.96,421.855
HATS-14 b,0.03815,11.646,339.76027,0.93,0.97,513.011
HATS-14 b,0.03815,11.646,340.39593,0.93,0.97,513.011
HATS-15 b,0.02712,12.386,689.6911,0.92,0.87,1139.55
HATS-16 b,0.03744,14.572,1039.3041,1.24,0.97,757.044
HATS-17 b,0.1308,8.709,425.25654,1.09,1.13,400.331
HATS-18 b,0.01761,14.986,629.3034,1.02,1.04,624.368
HATS-18 b,0.0174,14.897,629.14449,1.02,1.04,624.368
HATS-2 b,0.02317,12.576,435.42492,0.88,0.9,341.925
HATS-2 b,0.02298,13.092,486.2799,0.9,0.88,341.925
HATS-2 b,0.023,13.092,427.463,0.9,0.88,341.925
HATS-22 b,0.05025,10.682,870.8542,0.69,0.76,229.518
HATS-23 b,0.03397,20.849,467.2101,1.2,1.12,639.004
HATS-24 b,0.02547,16.668,775.5052,1.17,1.21,494.182
HATS-24 b,0.0238,15.637,718.2958,1.12,1.07,494.182
HATS-25 b,0.05163,14.123,194.82979,1.11,0.99,471.158
HATS-26 b,0.04735,19.616,206.5895,2.04,1.3,861.843
HATS-27 b,0.0611,16.814,168.4499,1.74,1.42,816.988
HATS-28 b,0.04131,13.384,213.58176,0.92,0.93,535.383
HATS-29 b,0.05475,14.022,207.54299,1.07,1.03,353.891
HATS-3 b,0.04852,15.48,349.613,1.4,1.21,411.211
HATS-3 b,0.0485,15.48,340.39593,1.4,1.21,411.211
HATS-3 b,0.0485,15.48,340.382,1.4,1.21,411.211
HATS-30 b,0.04354,13.171,224.38798,1.06,1.09,342.14
HATS-31 b,0.0478,18.383,279.6904,1.87,1.27,773.974
HATS-32 b,0.04024,14.0,292.4036,1.1,1.1,745.116
HATS-33 b,0.03727,13.787,378.85336,1.02,1.06,248.46
HATS-34 b,0.03166,16.029,299.07803,0.98,0.95,508.842
HATS-35 b,0.03199,16.41,388.38826,1.43,1.32,514.555
HATS-36 b,0.05425,13.843,1022.14128,1.16,1.22,856.436
HATS-37 A b,0.04913,6.793,31.46517,0.88,0.84,211.896
HATS-38 b,0.05036,6.882,23.51942,1.1,0.89,343.525
HATS-39 b,0.06007,17.598,200.2329,1.62,1.38,878.521
HATS-4 b,0.03623,11.433,416.03947,0.93,1.0,416.459
HATS-4 b,0.0362,11.433,420.471,0.93,1.0,416.459
HATS-40 b,0.04997,17.71,505.3497,2.26,1.56,1342.29
HATS-41 b,0.0583,14.908,3082.951,1.71,1.5,737.668
HATS-42 b,0.03689,15.693,597.5204,1.48,1.27,800.377
HATS-43 b,0.04944,13.227,82.95363,0.81,0.84,362.273
HATS-44 b,0.03649,11.96,177.9848,0.85,0.86,446.035
HATS-45 b,0.05511,14.415,222.481,1.31,1.27,772.11
HATS-46 b,0.05367,10.122,54.98459,0.85,0.92,453.808
HATS-47 b,0.04269,12.52,117.27927,0.66,0.67,300.67
HATS-48 A b,0.03769,8.967,77.23269,0.72,0.73,263.609
HATS-49 b,0.04515,8.575,112.19399,0.7,0.71,324.413
HATS-5 b,0.05428,10.223,75.64354,0.87,0.94,246.384
HATS-5 b,0.0542,10.223,75.323,0.87,0.94,246.384
HATS-50 b,0.05046,12.666,123.9537,1.12,1.17,756.742
HATS-51 b,0.04639,15.805,244.09344,1.44,1.19,389.57
HATS-52 b,0.02498,15.491,711.9392,1.05,1.11,555.134
HATS-53 b,0.04753,15.02,189.10885,1.1,0.96,585.77
HATS-54 b,0.037,11.377,239.32479,1.23,1.05,748.585
HATS-54 b,0.03763,11.96,241.5508,1.32,1.1,748.585
HATS-55 b,0.05412,14.022,292.72143,1.13,1.2,609.838
HATS-56 b,0.06043,18.921,191.33366,2.2,1.57,564.409
HATS-57 b,0.03493,12.767,1000.21101,0.96,1.03,279.485
HATS-58 A b,0.05798,12.274,327.3649,1.43,1.46,403.591
HATS-59 b,0.06112,12.621,256.17098,1.04,1.04,642.884
HATS-6 b,0.03623,11.187,101.38777,0.57,0.57,169.318
HATS-60 b,0.04708,12.924,210.40346,1.46,1.1,486.474
HATS-61 b,0.07908,13.395,1080.622,1.66,1.08,679.761
HATS-62 b,0.04163,11.825,56.89157,0.93,0.9,523.067
